work = .bss:0x81080000; // type:object size:0x9008 scope:local data:4byte
smArg__Q23ipl6System = .bss:0x81089008; // type:object size:0x2D8 data:4byte
smCSVm__Q33ipl7channel20ChannelScriptManager = .bss:0x810892E0; // type:object size:0x270
smArg__Q23ipl11PlayTimeLog = .bss:0x81089550; // type:object size:0xD0 data:byte
smArg__Q33ipl5nwc247Manager = .bss:0x81089620; // type:object size:0x100
mMac__Q33ipl6socket13SocketSetting = .bss:0x81089720; // type:object size:0x40
_database__7LibTVRC = .bss:0x81089760; // type:object size:0x20 data:4byte
_alarm__7LibTVRC = .bss:0x81089780; // type:object size:0x30
_tickWait__7LibTVRC = .bss:0x810897B0; // type:object size:0x10 data:4byte
mArg__Q33ipl7utility8Graphics = .bss:0x810897C0; // type:object size:0x88
unk__Q23ipl3snd = .bss:0x81089848; // type:object size:0xC
_seBlk__Q23ipl3snd = .bss:0x81089854; // type:object size:0xD8 data:4byte
sSystem__Q23ipl3snd = .bss:0x8108992C; // type:object size:0x63C data:4byte
sBannerSoundPlayer__Q23ipl3snd = .bss:0x81089F68; // type:object size:0x518 data:byte
runSliceMutex___Q37ext_ead3www13BrowserThread = .bss:0x8108A480; // type:object size:0x18
cap__Q23www9trasition = .bss:0x8108A498; // type:object size:0x20 data:4byte
sWiiData__Q23www10wiisetting = .bss:0x8108A4B8; // type:object size:0x48
cap__Q23www10wiisetting = .bss:0x8108A500; // type:object size:0x20 data:4byte
lbl_8108A520 = .bss:0x8108A520; // type:object size:0x10
sAlarm__Q210homebutton10Controller = .bss:0x8108A530; // type:object size:0xC0
sAlarmSoundOff__Q210homebutton10Controller = .bss:0x8108A5F0; // type:object size:0xC0
sThis__Q210homebutton10Controller = .bss:0x8108A6B0; // type:object size:0x10
BS2NandbootInfo = .bss:0x8108A6C0; // type:object size:0x1020
Allocator = .bss:0x8108B6E0; // type:object size:0x10 scope:local
BS2StateFlags = .bss:0x8108B6F0; // type:object size:0x20
Block = .bss:0x8108B720; // type:object size:0x30
lbl_8108B760 = .bss:0x8108B760; // type:object size:0x800 data:4byte
lbl_8108BF60 = .bss:0x8108BF60; // type:object size:0x30 data:4byte
BS2CacheFileInfo = .bss:0x8108BF90; // type:object size:0x8C
BS2NandBlock = .bss:0x8108C01C; // type:object size:0xBC
PartitionParams = .bss:0x8108C0E0; // type:object size:0x1DE00 scope:local
lbl_810A9EE0 = .bss:0x810A9EE0; // type:object size:0x20
lbl_810A9F00 = .bss:0x810A9F00; // type:object size:0x20
lbl_810A9F20 = .bss:0x810A9F20; // type:object size:0x20
bi3 = .bss:0x810A9F40; // type:object size:0x2000 data:4byte
lbl_810ABF40 = .bss:0x810ABF40; // type:object size:0x20 data:4byte
bi2 = .bss:0x810ABF60; // type:object size:0x2000 data:4byte
lbl_810ADF60 = .bss:0x810ADF60; // type:object size:0x20 data:4byte
viewsBuf = .bss:0x810ADF80; // type:object size:0x3600 scope:local
Flags0 = .bss:0x810B1580; // type:object size:0x800 scope:local
Flags1 = .bss:0x810B1D80; // type:object size:0x800 scope:local
Thread = .bss:0x810B2580; // type:object size:0x1320 scope:local
UpdateHeader0 = .bss:0x810B38A0; // type:object size:0x20 scope:local
UpdateHeader1 = .bss:0x810B38C0; // type:object size:0x20 scope:local
viewsBuf = .bss:0x810B38E0; // type:object size:0x3600 scope:local
FatalContext = .bss:0x810B6EE0; // type:object size:0x2C8 scope:local
FatalParam = .bss:0x810B71A8; // type:object size:0x18 scope:local data:4byte
sFriendInfo__Q23ipl5scene = .bss:0x810B71C0; // type:object size:0x140 data:4byte
mscMinDate__Q33ipl5scene8Calendar = .bss:0x810B7300; // type:object size:0xC data:4byte
mscMaxDate__Q33ipl5scene8Calendar = .bss:0x810B730C; // type:object size:0xC data:4byte
mscMinDate__Q33ipl5scene4Date = .bss:0x810B7318; // type:object size:0xC data:4byte
mscMaxDate__Q33ipl5scene4Date = .bss:0x810B7324; // type:object size:0x1C data:4byte
msTicketView__Q33ipl5scene12ChannelTitle = .bss:0x810B7340; // type:object size:0xE0
msUnlockTicket__Q33ipl5scene12ChannelTitle = .bss:0x810B7420; // type:object size:0xD8
sAllocator___Q23ipl10memorycard = .bss:0x810B74F8; // type:object size:0x10
g_session = .bss:0x810B7508; // type:object size:0x8D0 scope:local data:4byte
lbl_810B7DD8 = .bss:0x810B7DD8; // type:object size:0x2C
lbl_810B7E04 = .bss:0x810B7E04; // type:object size:0x204
__GSIACGamename = .bss:0x810B8008; // type:object size:0x40
AC = .bss:0x810B8088; // type:object size:0x58 scope:local data:4byte
aLocalHost$2870 = .bss:0x810B80E0; // type:object size:0x10 scope:local data:4byte
nat = .bss:0x810B80F0; // type:object size:0xD8 data:4byte
indata$2729 = .bss:0x810B81C8; // type:object size:0x200 scope:local
sAllocLock__Q33ipl5scene8NetSetup = .bss:0x810B83C8; // type:object size:0x18
sSOStartupInfo__Q33ipl5scene8NetSetup = .bss:0x810B83E0; // type:object size:0x10 data:4byte
m_AOSSConfig__Q23ipl5scene = .bss:0x810B83F0; // type:object size:0x158
m_RakuConfig__Q23ipl5scene = .bss:0x810B8548; // type:object size:0x70
mConfig__Q33ipl3ncd10NCDSetting = .bss:0x810B85B8; // type:object size:0x1B5C data:4byte
mSaveConfig__Q33ipl3ncd10NCDSetting = .bss:0x810BA114; // type:object size:0x1B5C
mMac__Q33ipl3ncd10NCDSetting = .bss:0x810BBC70; // type:object size:0x20
m_sc__Q33ipl8parental8Parental = .bss:0x810BBC90; // type:object size:0x54 data:byte
m_scSave__Q33ipl8parental8Parental = .bss:0x810BBCE4; // type:object size:0x54
mRequestNum__Q33ipl8parental8Parental = .bss:0x810BBD38; // type:object size:0xC
mCrc32Table__Q33ipl8parental8Parental = .bss:0x810BBD44; // type:object size:0x404
usbapThread = .bss:0x810BC148; // type:object size:0x318
usbapStack = .bss:0x810BC460; // type:object size:0x1000
usbapMessageQ = .bss:0x810BD460; // type:object size:0x20
usbapNickname = .bss:0x810BD480; // type:object size:0x18
m_allocator__Q23ipl5scene = .bss:0x810BD498; // type:object size:0x10
AOSS_810BD4A8 = .bss:0x810BD4A8; // type:object size:0x160 data:byte
AOSS_810BD608 = .bss:0x810BD608; // type:object size:0x7C8 data:4byte
RakuRakuThread_810BDDD0 = .bss:0x810BDDD0; // type:object size:0x10
RakuRakuThread_810BDDE0 = .bss:0x810BDDE0; // type:object size:0xF4 data:4byte
RakuRakuThread_810BDED4 = .bss:0x810BDED4; // type:object size:0x24
AOSS_810BDEF8 = .bss:0x810BDEF8; // type:object size:0x20 data:4byte
AOSS_810BDF18 = .bss:0x810BDF18; // type:object size:0x6A0
AOSS_810BE5B8 = .bss:0x810BE5B8; // type:object size:0x280
AOSS_810BE838 = .bss:0x810BE838; // type:object size:0x68
AOSS_810BE8A0 = .bss:0x810BE8A0; // type:object size:0x400
ATERM_810BECA0 = .bss:0x810BECA0; // type:object size:0x924 data:4byte
ATERM_810BF5C4 = .bss:0x810BF5C4; // type:object size:0x24
ATERM_810BF5E8 = .bss:0x810BF5E8; // type:object size:0x258
ATERM_810BF840 = .bss:0x810BF840; // type:object size:0x900
ATERM_810C0140 = .bss:0x810C0140; // type:object size:0x818 data:2byte
AtermThread = .bss:0x810C0958; // type:object size:0x318 scope:local align:32
Voices = .bss:0x810C0C80; // type:object size:0x1800 data:4byte
sZeroMem = .bss:0x810C2480; // type:object size:0x100 data:byte
lbl_810C2580 = .bss:0x810C2580; // type:object size:0x4000
lbl_810C6580 = .bss:0x810C6580; // type:object size:0x10
lbl_810C6590 = .bss:0x810C6590; // type:object size:0x60
ElementBuffer__Q39textinput8tistring6WithZi = .bss:0x810C65F0; // type:object size:0x200 data:2byte
CandidatesBuffer__Q39textinput8tistring6WithZi = .bss:0x810C67F0; // type:object size:0x600 data:2byte
CandidatedWord__Q39textinput8tistring6WithZi = .bss:0x810C6DF0; // type:object size:0x1400 data:2byte
LatestWord__Q39textinput8tistring6WithZi = .bss:0x810C81F0; // type:object size:0x80 data:2byte
snWidthTable__Q29textinput10textdrawer = .bss:0x810C8270; // type:object size:0x580 data:4byte
lbl_810C87F0 = .bss:0x810C87F0; // type:object size:0x24
sAppearMemoState__Q39textinput6extend4memo = .bss:0x810C8814; // type:object size:0xC data:4byte
lbl_810C8820 = .bss:0x810C8820; // type:object size:0xC data:4byte
sDisappearMemoState__Q39textinput6extend4memo = .bss:0x810C882C; // type:object size:0xC data:4byte
lbl_810C8838 = .bss:0x810C8838; // type:object size:0xC data:4byte
sInstance__Q39textinput5input10HKBManager = .bss:0x810C8844; // type:object size:0xFC
lbl_810C8940 = .bss:0x810C8940; // type:object size:0x10
CDB_VFF_FILE_NAME = .bss:0x810C8950; // type:object size:0x40
CDB_WIIID_DAT_PATH = .bss:0x810C8990; // type:object size:0x40
lbl_810C89D0 = .bss:0x810C89D0; // type:object size:0x18 data:4byte
CDB_SD_ROOT_PATH_CD = .bss:0x810C89E8; // type:object size:0x20 data:4byte
CDB_SD_ROOT_PATH_LS = .bss:0x810C8A08; // type:object size:0x20
CDB_SD_VFF_FILE_NAME = .bss:0x810C8A28; // type:object size:0x58
lbl_810C8A80 = .bss:0x810C8A80; // type:object size:0x40
lbl_810C8AC0 = .bss:0x810C8AC0; // type:object size:0x40
lbl_810C8B00 = .bss:0x810C8B00; // type:object size:0x20
lbl_810C8B20 = .bss:0x810C8B20; // type:object size:0x40
lbl_810C8B60 = .bss:0x810C8B60; // type:object size:0x20
lbl_810C8B80 = .bss:0x810C8B80; // type:object size:0x40 data:4byte
NHTTPiStaticResource = .bss:0x810C8BC0; // type:object size:0x40 data:4byte
sysInfo = .bss:0x810C8C00; // type:object size:0xCA0
InternalStatBuf = .bss:0x810C98A0; // type:object size:0x20 scope:local
MultiPartDivider = .bss:0x810C98C0; // type:object size:0x40 scope:local
nwc24ScdCommandMutex = .bss:0x810C9900; // type:object size:0x18 scope:local
nwc24ScdCounterMutex = .bss:0x810C9918; // type:object size:0x18 scope:local
nwc24ScdCommonBuffer = .bss:0x810C9940; // type:object size:0x20 scope:local
nwc24ScdCommonResult = .bss:0x810C9960; // type:object size:0x20 scope:local
nwc24ScdStatBuf = .bss:0x810C9980; // type:object size:0x100 scope:local
buf$677 = .bss:0x810C9A80; // type:object size:0x80 scope:local
nwc24TimeCommandMutex = .bss:0x810C9B00; // type:object size:0x18 scope:local
nwc24TimeCommonBuffer = .bss:0x810C9B18; // type:object size:0x20 scope:local
nwc24TimeCommonResult = .bss:0x810C9B38; // type:object size:0x20 scope:local
ShutdownFuncInfo = .bss:0x810C9B60; // type:object size:0x10 scope:local data:4byte
shtBuffer = .bss:0x810C9B80; // type:object size:0x20 scope:local data:4byte
shtResult = .bss:0x810C9BA0; // type:object size:0x20 scope:local
soWork = .bss:0x810C9BC0; // type:object size:0x18 scope:local data:4byte
ascii$1186 = .bss:0x810C9BD8; // type:object size:0x28 scope:local
l_mutex = .bss:0x810C9C00; // type:object size:0x18 scope:local
l_cert_data = .bss:0x810C9C20; // type:object size:0x1000 scope:local
l_private_key_data = .bss:0x810CAC20; // type:object size:0x1000 scope:local
l_root_ca = .bss:0x810CBC20; // type:object size:0x1000 scope:local
VFipdm_disk_set = .bss:0x810CCC20; // type:object size:0xBCC data:2byte
VFipf_vol_set = .bss:0x810CD7F0; // type:object size:0x27D50 data:4byte
l_Mutex = .bss:0x810F5540; // type:object size:0x18 scope:local
l_vfsys_dev_table = .bss:0x810F5558; // type:object size:0x68 scope:local data:4byte
l_dev_init_info_table = .bss:0x810F55C0; // type:object size:0xD0 scope:local
l_tmpWName = .bss:0x810F5690; // type:object size:0x10 scope:local data:2byte
hashTable = .bss:0x810F56A0; // type:object size:0x22E scope:local data:byte
l_driveInfo = .bss:0x810F58D0; // type:object size:0x208 scope:local data:4byte
l_nandFunc = .bss:0x810F5AD8; // type:object size:0x1A8 scope:local
l_event = .bss:0x810F5C80; // type:object size:0x340 scope:local
l_sddrv_info = .bss:0x810F5FC0; // type:object size:0x80 scope:local
sZeroBuffer__Q44nw4r3snd6detail9AxManager = .bss:0x810F6040; // type:object size:0x100
lbl_810F6140 = .bss:0x810F6140; // type:object size:0xC scope:local
instance$1758 = .bss:0x810F614C; // type:object size:0xA30C scope:local data:4byte
lbl_81100458 = .bss:0x81100458; // type:object size:0xC
lbl_81100464 = .bss:0x81100464; // type:object size:0xC
mChannel__Q44nw4r3snd6detail7Channel = .bss:0x81100470; // type:object size:0x57E8
@LOCAL@GetInstance__Q44nw4r3snd6detail14ChannelManagerFv@instance = .bss:0x81105C58; // type:object size:0x18 data:4byte
lbl_81105C70 = .bss:0x81105C70; // type:object size:0xC
instance$7141 = .bss:0x81105C7C; // type:object size:0xC scope:local data:4byte
instance$2395 = .bss:0x81105C88; // type:object size:0x2B8 scope:local data:byte
lbl_81105F40 = .bss:0x81105F40; // type:object size:0xC
sPlayerList__Q44nw4r3snd6detail27@unnamed@snd_SeqPlayer_cpp@ = .bss:0x81105F4C; // type:object size:0xC data:4byte
mGlobalVariable__Q44nw4r3snd6detail9SeqPlayer = .bss:0x81105F58; // type:object size:0x28
buffer$7626 = .bss:0x81105F80; // type:object size:0x200 scope:local
mutex$7628 = .bss:0x81106180; // type:object size:0x18 scope:local
lbl_81106198 = .bss:0x81106198; // type:object size:0x10
instance$4752 = .bss:0x811061A8; // type:object size:0x2398 scope:local
lbl_81108540 = .bss:0x81108540; // type:object size:0xC
sPlayerList__Q44nw4r3snd6detail28 = .bss:0x8110854C; // type:object size:0x14 data:4byte
mMramBuf__Q54nw4r3snd6detail10StrmPlayer11LoadCommand = .bss:0x81108560; // type:object size:0x4020
mTaskArea__Q44nw4r3snd6detail11TaskManager = .bss:0x8110C580; // type:object size:0x2044
lbl_8110E5C4 = .bss:0x8110E5C4; // type:object size:0xC
instance$1084 = .bss:0x8110E5D0; // type:object size:0x44 scope:local
instance$1088 = .bss:0x8110E618; // type:object size:0x2368 scope:local
lbl_81110980 = .bss:0x81110980; // type:object size:0xC
sPlayerList__Q34nw4r3snd28@unnamed@snd_WavePlayer_cpp@ = .bss:0x8111098C; // type:object size:0xC scope:local data:4byte
lbl_81110998 = .bss:0x81110998; // type:object size:0xC
playerList__Q44nw4r3snd6detail27 = .bss:0x811109A4; // type:object size:0xC data:4byte
sMutex__Q34nw4r2ut19DvdLockedFileStream = .bss:0x811109B0; // type:object size:0x18 scope:global
@1052 = .bss:0x811109C8; // type:object size:0xC scope:local
mLoadingTexture__Q34nw4r2ut10CharWriter = .bss:0x811109D8; // type:object size:0x10 data:4byte
@1800 = .bss:0x811109E8; // type:object size:0xC scope:local
@2232 = .bss:0x811109F4; // type:object size:0xC scope:local
sFrameBufferInfo__Q24nw4r2db = .bss:0x81110A00; // type:object size:0x10 scope:local data:4byte
sFrameBufferColor__Q24nw4r2db = .bss:0x81110A10; // type:object size:0x14 scope:local data:byte
sMutex__Q24nw4r2db = .bss:0x81110A28; // type:object size:0x18 scope:local
sStrBuf__Q24nw4r2db = .bss:0x81110A40; // type:object size:0x400 scope:local
sException__Q24nw4r2db = .bss:0x81110E40; // type:object size:0x360 scope:local
sThreadBuffer__Q24nw4r2db = .bss:0x811111A0; // type:object size:0x4000 scope:local
texCoords$3076 = .bss:0x811151A0; // type:object size:0x20 scope:local align:4 data:float
__OSRebootParams = .bss:0x811151C0; // type:object size:0x1C data:4byte
...bss.0 = .bss:0x811151C0; // type:label scope:local
DriveInfo = .bss:0x811151E0; // type:object size:0x20 scope:local
DriveBlock = .bss:0x81115200; // type:object size:0x30 scope:local
__OSErrorTable = .bss:0x81115230; // type:object size:0x44 data:4byte
Scb = .bss:0x81115280; // type:object size:0x54 scope:local data:2byte
DefaultThread = .bss:0x811152D8; // type:object size:0x318 scope:local data:4byte
...bss.0 = .bss:0x811152D8; // type:label scope:local
RunQueue = .bss:0x811155F0; // type:object size:0x100 scope:local data:4byte
IdleContext = .bss:0x811156F0; // type:object size:0x2C8 scope:local
IdleThread = .bss:0x811159B8; // type:object size:0x318 scope:local
StmEhInBuf = .bss:0x81115CE0; // type:object size:0x20 scope:global
StmEhOutBuf = .bss:0x81115D00; // type:object size:0x20 scope:global data:4byte
StmImInBuf = .bss:0x81115D20; // type:object size:0x20 scope:global data:4byte
StmImOutBuf = .bss:0x81115D40; // type:object size:0x20 scope:global
StmVdInBuf = .bss:0x81115D60; // type:object size:0x20 scope:global data:4byte
StmVdOutBuf = .bss:0x81115D80; // type:object size:0x20 scope:global
PlayRecord = .bss:0x81115DA0; // type:object size:0x80 scope:local data:4byte
...bss.0 = .bss:0x81115DA0; // type:label scope:local
PlayRecordAlarm = .bss:0x81115E20; // type:object size:0x30 scope:local data:4byte
FileInfo = .bss:0x81115E50; // type:object size:0x8C scope:local data:4byte
Block = .bss:0x81115EDC; // type:object size:0xBC scope:local data:4byte
StateFlags = .bss:0x81115FA0; // type:object size:0x20 scope:local data:4byte
__OSExpireAlarm = .bss:0x81115FC0; // type:object size:0x30 data:4byte
Ecb = .bss:0x81115FF0; // type:object size:0xC0 scope:local data:4byte
Packet = .bss:0x811160B0; // type:object size:0x80 scope:local data:4byte
XferTime = .bss:0x81116130; // type:object size:0x20 scope:local
TypeTime = .bss:0x81116150; // type:object size:0x20 scope:local
Alarm = .bss:0x81116170; // type:object size:0xC0 scope:local
InputBuffer = .bss:0x81116230; // type:object size:0x20 scope:local data:4byte
